Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
Saturday 4 October 2008,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,9,3,0,Free kick,Left foot,Won
Saturday 13 September 2008,Liga,FC Barcelona,Racing Santander,Racing Santander,71,1,0,Penalty,Left foot,Draw
Sunday 4 May 2008,Liga,FC Barcelona,Valencia,Valencia,6,1,0,Penalty,Left foot,Won
Saturday 24 November 2007,Liga,FC Barcelona,Recreativo Huelva,Recreativo Huelva,82,3,0,Penalty,Left foot,Won
Sunday 28 October 2007,Liga,FC Barcelona,UD Almería,UD Almería,81,2,0,Penalty,Left foot,Won
Sunday 7 October 2007,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,19,2,0,,Left foot,Won
Wednesday 26 September 2007,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,5,1,0,,Left foot,Won
Saturday 22 September 2007,Liga,FC Barcelona,Sevilla,Sevilla,80,2,0,Penalty,Left foot,Won
Saturday 22 September 2007,Liga,FC Barcelona,Sevilla,Sevilla,74,1,0,,Left foot,Won
Saturday 31 March 2007,Liga,FC Barcelona,Deportivo La Coruña,Deportivo La Coruña,45,1,0,,Left foot,Won
Saturday 9 September 2006,Liga,FC Barcelona,Osasuna,Osasuna,37,3,0,,Left foot,Won
Sunday 22 January 2006,Liga,FC Barcelona,Alavés,Alavés,81,2,0,Rebound,Left foot,Won
Sunday 27 November 2005,Liga,FC Barcelona,Racing Santander,Racing Santander,52,2,0,,Left foot,Won
Sunday 1 May 2005,Liga,FC Barcelona,Albacete,Albacete,90,2,0,,Left foot,Won
Saturday 9 March 2019,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,51,2,1,Penalty,Left foot,Won
Saturday 2 February 2019,Liga,FC Barcelona,Valencia,Valencia,64,2,2,Field goal,Left foot,Draw
Saturday 2 February 2019,Liga,FC Barcelona,Valencia,Valencia,39,1,2,Penalty,Left foot,Draw
Sunday 11 November 2018,Liga,FC Barcelona,Real Betis,Real Betis,90+2,3,4,Field goal,Left foot,Lost
Sunday 11 November 2018,Liga,FC Barcelona,Real Betis,Real Betis,68,1,2,Penalty,Left foot,Lost
Sunday 2 September 2018,Liga,FC Barcelona,Huesca,Huesca,61,6,2,Field goal,Left foot,Won
Sunday 6 May 2018,Liga,FC Barcelona,Real Madrid,Real Madrid,52,2,1,Field goal,Left foot,Draw
Saturday 7 April 2018,Liga,FC Barcelona,Leganés,Leganés,87,3,1,Field goal,Left foot,Won
Saturday 24 February 2018,Liga,FC Barcelona,Girona,Girona,36,3,1,Free kick,Left foot,Won
Saturday 24 February 2018,Liga,FC Barcelona,Girona,Girona,30,2,1,Field goal,Left foot,Won
Sunday 28 January 2018,Liga,FC Barcelona,Alavés,Alavés,84,2,1,Free kick,Left foot,Won
Saturday 2 December 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,22,1,1,Field goal,Left foot,Draw
Tuesday 19 September 2017,Liga,FC Barcelona,Eibar,Eibar,87,6,1,Field goal,Left foot,Won
Tuesday 19 September 2017,Liga,FC Barcelona,Eibar,Eibar,62,5,1,Field goal,Left foot,Won
